cnpj,nome,uf,city,ibge,bairro,cnae_match,match,tier,method,addr_sim,name_sim,tp_id,tp_name
59620464000143,TALISMA EMPREENDIMENTOS LTDA,MA,Balsas,2101400,BACABA,principal,0,,,,,,
54428403000165,MOVIMENTO ZEN,DF,Brasília,5300108,SETOR MEIRELES (SANTA MARIA),secundario,0,,,,,,
58382139000127,,SC,Urussanga,4219002,ESTACAO,principal,0,,,,,,
60914032000124,,CE,Fortaleza,2304400,PLANALTO AYRTON SENNA,principal,0,,,,,,
46276485000141,CF CLINIC,CE,Trairi,2313500,VOLTA DO S,secundario,0,,,,,,
07594978069887,,PB,Campina Grande,2504009,CATOLE,principal,0,,,,,,
60674840000161,,SP,Araçatuba,3502804,AVIACAO,secundario,0,,,,,,
46212886000138,ACADEMIA VENUS,CE,Fortaleza,2304400,JANGURUSSU,principal,0,,,,,,
61763542000100,STUDIO PILATES E FISIOTERAPIA DRA NATALICE DE MENDONCA,MG,Contagem,3118601,CENTRO,secundario,0,,,,,,
47135524000153,DISTRIBUIMAIS,MA,Codó,2103307,CENTRO,secundario,0,,,,,,
45769804000198,TOKA DO TREINO,GO,Caldas Novas,5204508,SANTA EFIGENIA,principal,0,,,,,,
54665673000190,CT DO PENHA,SP,Guarujá,3518701,JARDIM SAO JOSE,principal,1,alta,num+rua+nome,100,100,1c0d7265-385d-462d-91c7-1ffd80e9c0ba,CT DO PENHA
46615300000186,,RJ,Campos dos Goytacazes,3301009,CENTRO,principal,0,,,,,,
58765267000150,,MG,Uberlândia,3170206,MANSOUR,principal,0,,,,,,
45575962000107,CLINICA EVOLUIR - FISIOTERAPIA E PILATES,RJ,Nova Friburgo,3303401,CHACARA PARAISO,secundario,0,,,,,,
